Thread Number: 1 ~ 16, Loop Number: 1000000, test times: 16, Tournament Tree Height: 4, Time Unit: Nanosecond
ThreadNumber, TASLock, TTASLock, TournamentLock
1, 1.05104e+07, 1.00884e+07, 4.17478e+07
2, 8.37879e+07, 1.47178e+08, 6.48931e+08
3, 1.7472e+08, 3.19676e+08, 1.29165e+09
4, 3.80399e+08, 5.74994e+08, 2.03675e+09
5, 4.50374e+08, 7.72717e+08, 2.39925e+09
6, 7.84339e+08, 8.86242e+08, 2.96506e+09
7, 1.05757e+09, 1.1907e+09, 2.90453e+09
8, 1.56021e+09, 1.43354e+09, 3.11613e+09
9, 1.93046e+09, 1.65387e+09, 4.03545e+09
10, 2.36823e+09, 1.84833e+09, 4.25721e+09
11, 3.03006e+09, 2.08752e+09, 5.27445e+09
12, 3.6753e+09, 2.33844e+09, 5.76942e+09
13, 4.34294e+09, 2.50563e+09, 6.44568e+09
14, 4.99563e+09, 2.84582e+09, 7.22382e+09
15, 5.68364e+09, 3.04719e+09, 8.52498e+09
16, 6.75627e+09, 3.29514e+09, 9.27374e+09
